Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+					
yes	yes	yes	no	no	18	Makena	NMS	TW	SF	LL	MAS	MAS180801		Ahihi South	2018-08-01	9:35	2	2	2	2	2	19	5	0	Trades	MAS180801	27.5	34.7	6.55	100.8	8.15	0.90	0.86	0.99	0.92	0.073		2	3		3	11	0					
yes	yes	yes	no	no	19	Makena	NMS	TW	JD	SF	MML	MML180822		Makena Landing	2018-08-22	7:52	1	1	1	1	1	12	4		Trades	MML180822	27.3	26.2	6.44	94.0	8.17	1.16	1.36	1.08	1.20	0.120		1	0		3	9	0					
yes	yes	yes	no	no	19	Makena	NMS	TW	JD	SF	MMB	MMB180822		Maluaka Beach	2018-08-22	8:25	1	1	1	1	1	12	4		Trades	MMB180822	27.7	34.7	6.23	96.2	8.18	1.22	1.62	1.15	1.33	0.191		1	0		4	2	0	MMB - construction and demolition behind beach				
yes	yes	yes	no	no	19	Makena	NMS	TW	JD	SF	MON	MON180822		Oneuli	2018-08-22	8:47										MON180822																		Site not sampled because beach closed				
yes	yes	yes	no	no	19	Makena	NMS	TW	JD	SF	MAN	MAN180822		Ahihi North	2018-08-22	9:04	1	1	1	1	1	12	4		Trades	MAN180822	27.5	34.8	7.17	110.1	8.15	0.95	1.09	1.31	1.12	0.163		1	0		6	0	0	MAN - foul smell, source unknown				
yes	yes	yes	no	no	19	Makena	NMS	TW	JD	SF	MAS	MAS180822		Ahihi South	2018-08-22	9:00										MAS180822																		Site not sampled because beach closed				
yes	yes	yes	no	no	20	Makena	NMS				MML	MML180912		Makena Landing	2018-09-12											MML180912																		Cancelled due to hurricane Olivia				
yes	yes	yes	no	no	20	Makena	NMS				MMB	MMB180912		Maluaka Beach	2018-09-12											MMB180912																		Cancelled due to hurricane Olivia				
yes	yes	yes	no	no	20	Makena	NMS				MON	MON180912		Oneuli	2018-09-12											MON180912																		Cancelled due to hurricane Olivia				
yes	yes	yes	no	no	20	Makena	NMS				MAN	MAN180912		Ahihi North	2018-09-12											MAN180912																		Cancelled due to hurricane Olivia				
yes	yes	yes	no	no	20	Makena	NMS				MAS	MAS180912		Ahihi South	2018-09-12											MAS180912																		Cancelled due to hurricane Olivia				
yes	yes	yes	no	no	21	Makena	NMS	JD	LL	MS	MML	MML181003		Makena Landing	2018-10-03	8:01	1	1	1	1	1					MML181003	27.1	26.5	6.97	102.2	8.14	3.29	3.14	2.80	3.08	0.082				N	5	2	0					
yes	yes	yes	no	no	21	Makena	NMS	JD	LL	MS	MMB	MMB181003		Maluaka Beach	2018-10-03	8:36	1	1	1	1	1					MMB181003	27.8	35.1	6.46	99.9	8.14	0.90	0.82	0.98	0.90	0.089					9	11	0					
yes	yes	yes	no	no	21	Makena	NMS	JD	LL	MS	MON	MON181003		Oneuli	2018-10-03	8:52	1	1	1	1	1					MON181003	27.8	35.1	6.69	103.3	8.13	3.29	2.79	2.74	2.94	0.103					0	1	0					
yes	yes	yes	no	no	21	Makena	NMS	JD	LL	MS	MAN	MAN181003		Ahihi North	2018-10-03	9:15	1	1	1	1	1					MAN181003	27.8	35.2	6.91	106.8	8.11	2.02	2.36	2.14	2.17	0.079					4	0	0					
yes	yes	yes	no	no	21	Makena	NMS	JD	LL	MS	MAS	MAS181003		Ahihi South	2018-10-03	9:28	1	1	1	1	1					MAS181003	28.1	35.4	6.45	104.0	8.12	1.71	1.88	1.80	1.80	0.047					23	11						
yes	yes	yes	no	no	22	Makena	NMS	JD	MS	GB	MML	MML181024		Makena Landing	2018-10-24	8:00	2	2	2	2	2					MML181024	27.2	34.7	6.66	102.0	8.13	5.35	4.96	6.17	5.49	0.112				N	0	0	0					
yes	yes	yes	no	no	22	Makena	NMS	JD	MS	GB	MMB	MMB181024		Maluaka Beach	2018-10-24	8:22	2	2	2	2	2					MMB181024	27.5	35.2	6.65	102.9	8.16	2.57	2.44	3.00	2.67	0.110					0	0	0					
yes	yes	yes	no	no	22	Makena	NMS	JD	MS	GB	MON	MON181024		Oneuli	2018-10-24	8:44	2	2	2	2	2					MON181024	27.5	34.7	6.70	103.2	8.10	2.62	3.09	3.00	2.90	0.086					1	0	0					
yes	yes	yes	no	no	22	Makena	NMS	JD	MS	GB	MAN	MAN181024		Ahihi North	2018-10-24	9:09	2	2	2	2	2					MAN181024	27.6	35.0	7.00	108.3	8.09	1.45	1.95	1.98	1.79	0.166					7	8	0					
yes	yes	yes	no	no	22	Makena	NMS	JD	MS	GB	MAS	MAS181024		Ahihi South	2018-10-24	9:33	2	2	2	2	2					MAS181024	27.7	34.7	6.67	103.2	8.11	1.72	1.74	1.64	1.70	0.031					2	14	0					
yes	yes	yes	no	no	23	Makena	NMS	JD	SF	GB	MML	MML181114		Makena Landing	2018-11-14	7:55	1	1	1	1	1					MML181114	26.3	35.1	6.43	96.9	8.13	0.81	0.86	0.95	0.87	0.081				N	7	5	0					
yes	yes	yes	no	no	23	Makena	NMS	JD	SF	GB	MMB	MMB181114		Maluaka Beach	2018-11-14	8:19	1	1	1	1	1					MMB181114	26.6	35.3	6.49	98.4	8.17	0.35	0.38	0.37	0.37	0.042					0	3	0					
yes	yes	yes	no	no	23	Makena	NMS	JD	SF	GB	MON	MON181114		Oneuli	2018-11-14	8:39	1	1	1	1	1					MON181114	26.7	35.3	6.37	96.6	8.15	0.90	1.06	0.90	0.95	0.097					1	0	0					
yes	yes	yes	no	no	23	Makena	NMS	JD	SF	GB	MAN	MAN181114		Ahihi North	2018-11-14	8:59	1	1	1	1	1					MAN181114	26.5	35.1	6.69	100.9	8.08	0.39	0.42	0.46	0.42	0.083					1	4	0					
yes	yes	yes	no	no	23	Makena	NMS	JD	SF	GB	MAS	MAS181114		Ahihi South	2018-11-14	9:16	1	1	1	1	1					MAS181114	26.8	35.3	6.20	94.4	8.13	0.29	0.31	0.32	0.31	0.050					8	12	0					
yes	yes	yes	no	no	24	Makena	NMS				MML	MML181205		Makena Landing	2018-12-05											MML181205																		NMS lab closed due to Pres. Bush funeral				
yes	yes	yes	no	no	24	Makena	NMS				MMB	MMB181205		Maluaka Beach	2018-12-05											MMB181205																		NMS lab closed due to Pres. Bush funeral				
yes	yes	yes	no	no	24	Makena	NMS				MON	MON181205		Oneuli	2018-12-05											MON181205																		NMS lab closed due to Pres. Bush funeral				
yes	yes	yes	no	no	24	Makena	NMS				MAN	MAN181205		Ahihi North	2018-12-05											MAN181205																		NMS lab closed due to Pres. Bush funeral				
yes	yes	yes	no	no	24	Makena	NMS				MAS	MAS181205		Ahihi South	2018-12-05											MAS181205																		NMS lab closed due to Pres. Bush funeral				
yes	yes	yes	no	no	25	Makena	NMS	JD	MS	GB	MML	MML181219		Makena Landing	2018-12-19	8:05	1	1	1	1	1					MML181219	24.4	34.5	6.54	94.8	8.10	1.90	1.73	2.20	1.94	0.122				N	0	0	0					
yes	yes	yes	no	no	25	Makena	NMS	JD	MS	GB	MMB	MMB181219		Maluaka Beach	2018-12-19	8:40	1	1	1	1	1					MMB181219	24.2	34.9	6.80	98.6	8.14	0.75	0.89	0.95	0.86	0.119					0	4	0					
yes	yes	yes	no	no	25	Makena	NMS	JD	MS	GB	MON	MON181219		Oneuli	2018-12-19	8:57	1	1	1	1	1					MON181219	24.5	35.2	7.00	102.0	8.15	1.48	1.48	1.35	1.44	0.052					0	0	0					
yes	yes	yes	no	no	25	Makena	NMS	JD	MS	GB	MAN	MAN181219		Ahihi North	2018-12-19	9:21	1	1	1	1	1					MAN181219	24.5	35.0	7.36	107.6	8.11	1.06	0.99	1.18	1.08	0.089					2	6	0					
yes	yes	yes	no	no	25	Makena	NMS	JD	MS	GB	MAS	MAS181219		Ahihi South	2018-12-19	9:45	1	1	1	1	1					MAS181219	24.8	35.1	6.95	102.4	8.12	0.86	0.85	0.76	0.82	0.067					5	7	0					
yes	yes	yes	no	no	26	Makena	NMS	MB	BS		MML	MML190116		Makena Landing	2019-01-16	8:10	1	3	5	1	3					MML190116	23.5	33.7	6.81	97.2	8.19	4.08	3.79	4.45	4.11	0.081				N	0	2	0					
yes	yes	yes	no	no	26	Makena	NMS	MB	BS		MMB	MMB190116		Maluaka Beach	2019-01-16	8:37	1	3	5	1	3					MMB190116	23.8	34.2	6.86	98.8	8.18	2.45	2.58	2.56	2.53	0.028					5	0	0					
yes	yes	yes	no	no	26	Makena	NMS	MB	BS		MON	MON190116		Oneuli	2019-01-16	9:02	1	3	5	1	3					MON190116	23.9	34.0	6.89	99.3	8.15	2.63	2.90	3.01	2.85	0.069					0	1	0					
yes	yes	yes	no	no	26	Makena	NMS	MB	BS		MAN	MAN190116		Ahihi North	2019-01-16	9:28	1	3	5	1	3					MAN190116	24.2	34.5	7.06	102.5	8.15	1.05	0.90	1.08	1.01	0.095					0	5	0					
yes	yes	yes	no	no	26	Makena	NMS	MB	BS		MAS	MAS190116		Ahihi South	2019-01-16	9:50	1	3	5	1	3					MAS190116	24.6	34.4	6.78	99.0	8.16	1.44	1.84	1.78	1.69	0.128					8	20	0					
yes	yes	yes	no	no	27	Makena	NMS	MB	BS		MML	MML190206		Makena Landing	2019-02-06	8:00	1	1	1	1	1					MML190206	23.5	36.7	6.82	98.9	8.15	1.64	2.13	2.55	2.11	0.216				N	1	0	0					
yes	yes	yes	no	no	27	Makena	NMS	MB	BS		MMB	MMB190206		Maluaka Beach	2019-02-06	8:22	1	1	1	1	1					MMB190206	23.8	36.8	6.89	100.9	8.14	0.93	0.96	1.11	1.00	0.096					0	4	0					
yes	yes	yes	no	no	27	Makena	NMS	MB	BS		MON	MON190206		Oneuli	2019-02-06	8:50	1	1	1	1	1					MON190206	23.8	36.8	6.89	100.7	8.14	6.28	5.74	6.02	6.01	0.045					0	0	0					
yes	yes	yes	no	no	27	Makena	NMS	MB	BS		MAN	MAN190206		Ahihi North	2019-02-06	9:13	1	1	1	1	1					MAN190206	24.0	36.8	6.88	100.9	8.11	0.68	0.90	0.82	0.80	0.139					2	7	0					
yes	yes	yes	no	no	27	Makena	NMS	MB	BS		MAS	MAS190206		Ahihi South	2019-02-06	9:35	1	1	1	1	1					MAS190206	24.0	36.5	6.74	98.8	8.09	1.26	1.15	1.15	1.19	0.054					4	6	0					
yes	yes	yes	no	no	28	Makena	NMS	SF	BS	JD	MML	MML190227		Makena Landing	2019-02-27	7:55	2	2	2	2	2					MML190227	23.4	34.2	6.70	95.6	8.14	1.85	1.79	1.63	1.76	0.065				N	0	0	0					
yes	yes	yes	no	no	28	Makena	NMS	SF	BS	JD	MMB	MMB190227		Maluaka Beach	2019-02-27	8:28	2	2	2	2	2					MMB190227	23.0	34.5	7.06	100.5	8.17	0.58	0.63	0.62	0.61	0.043				NA	0	4	0					
yes	yes	yes	no	no	28	Makena	NMS	SF	BS	JD	MON	MON190227		Oneuli	2019-02-27	8:42	2	2	2	2	2					MON190227	22.9	34.6	7.21	100.1	8.17	0.72	0.71	0.73	0.72	0.014				NA	0	0	0					
yes	yes	yes	no	no	28	Makena	NMS	SF	BS	JD	MAN	MAN190227		Ahihi North	2019-02-27	9:04	2	2	2	2	2					MAN190227	23.4	34.6	7.42	105.8	8.11	0.69	1.05	0.69	0.81	0.257				NA	0	2	0					
yes	yes	yes	no	no	28	Makena	NMS	SF	BS	JD	MAS	MAS190227		Ahihi South	2019-02-27	9:25	2	2	2	2	2					MAS190227	23.4	34.3	6.98	99.6	8.11	0.72	0.73	0.89	0.78	0.122				NA	3	12	0					
yes	yes	yes	no	no	29	Makena	NMS	SF	MS	JD	MML	MML190320		Makena Landing	2019-03-20	8:00	1	1	1	1	1					MML190320	24.2	34.7	6.78	98.2	8.14	1.70	2.82	2.84	2.45	0.266				N	2	6	0	took second  MML turbidity readings because of abnormal high initial reading 				
yes	yes	yes	no	no	29	Makena	NMS	SF	MS	JD	MMB	MMB190320		Maluaka Beach	2019-03-20	8:40	1	1	1	1	1					MMB190320	23.9	34.9	6.89	99.9	8.15	0.77	0.85	0.81	0.81	0.049				NA	12	6	0					
yes	yes	yes	no	no	29	Makena	NMS	SF	MS	JD	MON	MON190320		Oneuli	2019-03-20	9:10	1	1	1	1	1					MON190320	24.1	34.3	6.97	100.9	8.09	3.65	4.00	3.81	3.82	0.046				NA	0	0	0					
yes	yes	yes	no	no	29	Makena	NMS	SF	MS	JD	MAN	MAN190320		Ahihi North	2019-03-20	9:31	1	1	1	1	1					MAN190320	24.0	34.6	7.10	102.7	8.08	1.50	2.05	2.69	2.08	0.286				NA	1	10	0					
yes	yes	yes	no	no	29	Makena	NMS	SF	MS	JD	MAS	MAS190320		Ahihi South	2019-03-20	10:00	1	1	1	1	1					MAS190320	24.2	33.9	6.49	93.9	8.01	1.35	1.64	1.51	1.50	0.097				NA	32	38	0					
yes	yes	yes	no	no	30	Makena	NMS	SF	BS	JD	MML	MML190410		Makena Landing	2019-04-10	7:58	2	2	2	2	2					MML190410	24.8	34.8	6.81	99.7	8.12	1.81	2.60	2.29	2.23	0.178				N	2	5	0					
yes	yes	yes	no	no	30	Makena	NMS	SF	BS	JD	MMB	MMB190410		Maluaka Beach	2019-04-10	8:23	2	2	2	2	2					MMB190410	25.2	35.0	6.71	99.2	8.15	0.52	0.56	0.75	0.61	0.201				NA	6	5	0					
yes	yes	yes	no	no	30	Makena	NMS	SF	BS	JD	MON	MON190410		Oneuli	2019-04-10	8:42	2	2	2	2	2					MON190410	25.3	35.0	6.67	98.5	8.11	0.93	1.00	1.54	1.16	0.289				NA	0	0	0					
yes	yes	yes	no	no	30	Makena	NMS	SF	BS	JD	MAN	MAN190410		Ahihi North	2019-04-10	9:01	2	2	2	2	2					MAN190410	25.4	34.9	7.42	109.8	8.11	1.03	1.06	1.19	1.09	0.078				NA	3	0	0					
yes	yes	yes	no	no	30	Makena	NMS	SF	BS	JD	MAS	MAS190410		Ahihi South	2019-04-10	9:24	2	2	2	2	2					MAS190410	25.5	33.8	6.81	100.4	8.03	0.88	0.88	0.86	0.87	0.013				NA	11	21	0					
yes	yes	yes	no	no	31	Makena	NMS	SF	BS	JD	MML	MML190501		Makena Landing	2019-05-01	7:53	1	1	1	1	1					MML190501	24.9	33.8	6.67	97.1	8.12	0.89	1.06	1.17	1.04	0.136				N	2	2	0					
yes	yes	yes	no	no	31	Makena	NMS	SF	BS	JD	MMB	MMB190501		Maluaka Beach	2019-05-01	8:15	1	1	1	1	1					MMB190501	25.2	34.0	6.76	95.5	8.11	1.33	1.61	1.45	1.46	0.096				NA	1	9	0					
yes	yes	yes	no	no	31	Makena	NMS	SF	BS	JD	MON	MON190501		Oneuli	2019-05-01	8:44	1	1	1	1	1					MON190501	25.0	34.1	6.79	99.8	8.08	2.11	2.31	2.13	2.18	0.050				NA	0	3	0					
yes	yes	yes	no	no	31	Makena	NMS	SF	BS	JD	MAN	MAN190501		Ahihi North	2019-05-01	9:04	1	1	1	1	1					MAN190501	25.2	34.8	7.36	108.9	8.10	1.66	1.60	1.35	1.54	0.107				NA	3	0	0					
yes	yes	yes	no	no	31	Makena	NMS	SF	BS	JD	MAS	MAS190501		Ahihi South	2019-05-01	9:44	1	1	1	1	1					MAS190501	26.2	33.9	6.73	100.6	8.04	1.50	1.35	1.35	1.40	0.062				NA	0	0	0					
yes	yes	yes	no	no	32	Makena	NMS	MS	BS	JD	MML	MML190522		Makena Landing	2019-05-22	7:50	2	1	1	1	1					MML190522	26.6	25.1	6.96	100.0	8.12	5.43	5.75	5.72	5.63	0.031				N	0	0	0					
yes	yes	yes	no	no	32	Makena	NMS	MS	BS	JD	MMB	MMB190522		Maluaka Beach	2019-05-22	8:25	2	1	1	1	1					MMB190522	27.2	33.7	6.59	100.1	8.10	2.36	2.97	2.56	2.63	0.118				NA	3	12	0					
yes	yes	yes	no	no	32	Makena	NMS	MS	BS	JD	MON	MON190522		Oneuli	2019-05-22	8:45	2	1	1	1	1					MON190522	27.3	34.2	6.73	102.4	8.10	4.03	4.03	3.67	3.91	0.053				NA	0	0	0					
yes	yes	yes	no	no	32	Makena	NMS	MS	BS	JD	MAN	MAN190522		Ahihi North	2019-05-22	9:00	2	1	1	1	1					MAN190522	26.7	34.7	7.08	107.0	8.07	2.00	2.06	2.44	2.17	0.110				NA	0	0	0					
yes	yes	yes	no	no	32	Makena	NMS				MAS	MAS190522		Ahihi South	2019-05-22											MAS190522														NA				Site closed due to sharks				
yes	yes	yes	no	no	33	Makena	NMS	SF	BS	JD	MML	MML190612		Makena Landing	2019-06-12	8:02	1	1	1	1	1					MML190612	26.6	34.0	6.38	96.0	8.14	1.05	1.08	1.11	1.08	0.028				N	1	10	0					
yes	yes	yes	no	no	33	Makena	NMS	SF	BS	JD	MMB	MMB190612		Maluaka Beach	2019-06-12	8:33	1	1	1	1	1					MMB190612	27.3	33.9	6.29	95.8	8.11	0.55	0.54	0.69	0.59	0.141				NA	10	4	0					
yes	yes	yes	no	no	33	Makena	NMS	SF	BS	JD	MON	MON190612		Oneuli	2019-06-12	9:00	1	1	1	1	1					MON190612	27.2	34.5	6.05	92.3	8.06	0.73	0.85	0.79	0.79	0.076				NA	0	4	0					
yes	yes	yes	no	no	33	Makena	NMS	SF	BS	JD	MAN	MAN190612		Ahihi North	2019-06-12	9:26	1	1	1	1	1					MAN190612	27.1	34.6	7.45	113.3	8.13	1.47	1.03	1.15	1.22	0.187				NA	4	0	0					
yes	yes	yes	no	no	33	Makena	NMS	SF	BS	JD	MAS	MAS190612		Ahihi South	2019-06-12	9:51	1	1	1	1	1					MAS190612	27.3	35.0	6.27	96.1	8.11	0.53	0.53	0.58	0.55	0.053				NA	14	15	0					
yes	yes	yes	no	no	34	Makena	NMS	SF	BS	MS	MML	MML190703		Makena Landing	2019-07-03	8:05	1	2	2	2	2					MML190703	27.4	34.7	6.59	101.1		2.71	3.28	3.77	3.25	0.163				N	2	2	0					
yes	yes	yes	no	no	34	Makena	NMS	SF	BS	MS	MMB	MMB190703		Maluaka Beach	2019-07-03	8:27	1	2	2	2	2					MMB190703	27.5	33.6	6.58	100.6		1.90	1.79	1.99	1.89	0.053				NA	5	13	0					
yes	yes	yes	no	no	34	Makena	NMS	SF	BS	MS	MON	MON190703		Oneuli	2019-07-03	8:45	1	2	2	2	2					MON190703	28.0	34.3	6.64	102.6		2.23	2.96	2.45	2.55	0.147				NA	0	5	0					
yes	yes	yes	no	no	34	Makena	NMS	SF	BS	MS	MAN	MAN190703		Ahihi North	2019-07-03	9:05	1	2	2	2	2					MAN190703	27.5	35.2	6.90	106.3		2.09	2.47	2.88	2.48	0.159				NA	8	1	0					
yes	yes	yes	no	no	34	Makena	NMS	SF	BS	MS	MAS	MAS190703		Ahihi South	2019-07-03	9:25	1	2	2	2	2					MAS190703	27.5	35.1	6.63	102.2		3.31	3.69	3.35	3.45	0.061				NA	11	2	0					
yes	yes	yes	no	no	35	Makena	NMS	SF	BS	MS	MML	MML190724		Makena Landing	2019-07-24	8:00	2	2	2	2	2					MML190724	28.0	35.0	6.47	100.3	8.12	4.94	3.69	4.10	4.24	0.150				N	0	11	0					
yes	yes	yes	no	no	35	Makena	NMS	SF	BS	MS	MMB	MMB190724		Maluaka Beach	2019-07-24	8:17	2	2	2	2	2					MMB190724	28.2	35.0	6.48	101.0	8.16	1.06	1.11	1.14	1.10	0.037				NA	9	18	0	took 4th reading				
yes	yes	yes	no	no	35	Makena	NMS	SF	BS	MS	MON	MON190724		Oneuli	2019-07-24	8:35	2	2	2	2	2					MON190724	28.2	35.1	5.99	93.4	8.10	1.99	1.82	1.66	1.82	0.091				NA	0	0	0					
yes	yes	yes	no	no	35	Makena	NMS	SF	BS	MS	MAN	MAN190724		Ahihi North	2019-07-24	8:56	2	2	2	2	2					MAN190724	27.7	35.2	7.05	108.7	8.17	0.79	0.73	0.85	0.79	0.076				NA	6	2	0					
yes	yes	yes	no	no	35	Makena	NMS	SF	BS	MS	MAS	MAS190724		Ahihi South	2019-07-24	9:15	2	2	2	2	2					MAS190724	28.0	35.6	6.68	104.0	8.20	0.33	0.28	0.27	0.29	0.110				NA	14	16	0					
yes	yes	yes	no	no	36	Makena	NMS	SF	BS	MS	MML	MML190814		Makena Landing	2019-08-14	8:05	2	2	2	2	2					MML190814	27.9	34.3	6.65	102.8	8.12	4.45	4.15	4.22	4.27	0.037				N	0	0	0					
yes	yes	yes	no	no	36	Makena	NMS	SF	BS	MS	MMB	MMB190814		Maluaka Beach	2019-08-14	8:35	2	2	2	2	2					MMB190814	28.0	34.4	6.63	102.9	8.10	1.66	1.60	1.65	1.64	0.020				NA	8	3	0					
yes	yes	yes	no	no	36	Makena	NMS	SF	BS	MS	MON	MON190814		Oneuli	2019-08-14	8:58	2	2	2	2	2					MON190814	28.0	34.5	6.71	104.1	8.09	3.51	3.86	3.75	3.71	0.048				NA	0	0	0					
yes	yes	yes	no	no	36	Makena	NMS	SF	BS	MS	MAN	MAN190814		Ahihi North	2019-08-14	9:16	2	2	2	2	2					MAN190814	27.7	35.1	6.90	106.6	8.11	1.91	1.32	1.73	1.65	0.183				NA	2	0	0					
yes	yes	yes	no	no	36	Makena	NMS	SF	BS	MS	MAS	MAS190814		Ahihi South	2019-08-14	9:35	2	2	2	2	2					MAS190814	27.7	35.0	6.46	101.5	8.14	2.61	2.66	2.67	2.65	0.012				NA	7	11	0					
yes	yes	yes	no	no	37	Makena	NMS	JS	BS	MS	MML	MML190904		Makena Landing	2019-09-04	7:50	1	1	3	1	1					MML190904	28.4		6.49	96.8	8.14	1.57	1.65	1.58	1.60	0.027				N	0	7	0					
yes	yes	yes	no	no	37	Makena	NMS	JS	BS	MS	MMB	MMB190904		Maluaka Beach	2019-09-04	8:20	1	1	3	1	1					MMB190904	28.8	35.3	6.22	98.2	8.16	0.51	0.47	0.48	0.49	0.043				NA	0	2	0					
yes	yes	yes	no	no	37	Makena	NMS	JS	BS	MS	MON	MON190904		Oneuli	2019-09-04	8:39	1	1	3	1	1					MON190904	28.7	35.3	5.59	87.8	8.06	1.47	1.71	1.60	1.59	0.075				NA	0	0	0					
yes	yes	yes	no	no	37	Makena	NMS	JS	BS	MS	MAN	MAN190904		Ahihi North	2019-09-04	8:59	1	1	3	1	1					MAN190904	28.5	35.0	6.59	103.0	8.12	0.68	0.92	0.71	0.77	0.170				NA	6	0	0					
yes	yes	yes	no	no	37	Makena	NMS	JS	BS	MS	MAS	MAS190904		Ahihi South	2019-09-04	9:16	1	1	3	1	1					MAS190904	28.7	35.2	6.55	103.0	8.19	0.69	0.88	1.02	0.86	0.192				NA	8	5	0					
yes	yes	yes	no	no	38	Makena	NMS	JD	BS	MS	MML	MML190925		Makena Landing	2019-09-25	8:15	2	2	4	2	2					MML190925	28.2	34.8	6.47	100.6	8.14	4.13	3.20	3.57	3.63	0.129				N	0	1	0					
yes	yes	yes	no	no	38	Makena	NMS	JD	BS	MS	MMB	MMB190925		Maluaka Beach	2019-09-25	8:40	2	2	4	2	2					MMB190925	28.6	34.2	6.42	100.5	8.12	2.62	1.97	2.30	2.30	0.142				NA	8	3	0	4th turbidty reading taken				
yes	yes	yes	no	no	38	Makena	NMS	JD	BS	MS	MON	MON190925		Oneuli	2019-09-25	9:05	2	2	4	2	2					MON190925	28.5	34.3	6.70	104.6	8.13	2.36	2.58	2.37	2.44	0.051				NA	0	4	0					
yes	yes	yes	no	no	38	Makena	NMS	JD	BS	MS	MAN	MAN190925		Ahihi North	2019-09-25	9:25	2	2	4	2	2					MAN190925	28.5	35.3	6.96	109.5	8.17	1.37	2.10	2.65	2.04	0.315				NA	6	0	0	disconnected DO probe and retook reading  ~same resultant reading				
yes	yes	yes	no	no	38	Makena	NMS	JD	BS	MS	MAS	MAS190925		Ahihi South	2019-09-25	9:50	2	2	4	2	2					MAS190925	28.7	35.2	6.63	104.4	8.16	2.46	3.47	2.65	2.86	0.188				NA	2	5	0					
yes	yes	yes	no	no	39	Makena	NMS	JD	BS	MS	MML	MML191016		Makena Landing	2019-10-16	7:51	1	1	3	1	1					MML191016	27.7		6.55	96.2	8.14	1.61	1.51	1.53	1.55	0.034				N	1	7	0					
yes	yes	yes	no	no	39	Makena	NMS	JD	BS	MS	MMB	MMB191016		Maluaka Beach	2019-10-16	8:20	1	1	3	1	1					MMB191016	27.5	35.2	6.27	96.5	8.15	0.67	0.88	0.69	0.75	0.155				NA	3	5	0					
yes	yes	yes	no	no	39	Makena	NMS	JD	BS	MS	MON	MON191016		Oneuli	2019-10-16	8:43	1	1	3	1	1					MON191016	27.6	35.2	6.04	92.9	8.09	2.38	2.07	2.49	2.31	0.094				NA	0	0	0					
yes	yes	yes	no	no	39	Makena	NMS	JD	BS	MS	MAN	MAN191016		Ahihi North	2019-10-16	9:04	1	1	3	1	1					MAN191016	27.7	35.1	6.32	97.3	8.06	0.73	0.86	0.55	0.71	0.218				NA	21	4	0					
yes	yes	yes	no	no	39	Makena	NMS	JD	BS	MS	MAS	MAS191016		Ahihi South	2019-10-16	9:23	1	1	3	1	1					MAS191016	28.5	34.8	6.27	97.9	8.12	0.39	0.41	0.38	0.39	0.039				NA	6	17	0					
yes	yes	yes	no	no	40	Makena	NMS	JD	BS	MS	MML	MML191106		Makena Landing	2019-11-06	7:55	2	2	4	2	2					MML191106	27.3	34.8	6.64	101.7	8.14	2.39	2.40	1.99	2.26	0.103	10			N	0	0	0	took 4th reading replaced 2.93 with 2.39				
yes	yes	yes	no	no	40	Makena	NMS	JD	BS	MS	MMB	MMB191106		Maluaka Beach	2019-11-06	8:27	2	2	4	2	2					MMB191106	27.4	35.1	6.73	103.6	8.15	2.10	1.16	2.00	1.75	0.294	0			NA	0	1	0					
yes	yes	yes	no	no	40	Makena	NMS	JD	BS	MS	MON	MON191106		Oneuli	2019-11-06	8:48	2	2	4	2	2					MON191106	27.5	35.4	6.59	101.7	8.12	1.87	1.85	1.87	1.86	0.006	0			NA	0	0	0	took 4th reading replaced 2.74 with 1.87				
yes	yes	yes	no	no	40	Makena	NMS	JD	BS	MS	MAN	MAN191106		Ahihi North	2019-11-06	9:10	2	2	3	2	2					MAN191106	27.3	34.9	6.72	103.1	8.02	1.13	1.28	1.20	1.20	0.062	0			NA	3	0	0					
yes	yes	yes	no	no	40	Makena	NMS	JD	BS	MS	MAS	MAS191106		Ahihi South	2019-11-06	9:33	2	2	4	2	2					MAS191106	27.7	35.4	6.35	98.4	8.10	0.56	0.68	0.78	0.67	0.164	0			NA	9	7	0					
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MML	MML191120		Makena Landing	2019-11-20	7:50	1	1	3	1	1					MML191120	27.3	34.7	6.31	96.3	8.09	1.80	1.96	2.56	2.11	0.190	110			N	3	1	0					
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MMB	MMB191120		Maluaka Beach	2019-11-20	8:30	1	1	3	1	1					MMB191120	27.2	34.7	6.42	98.3	8.13	1.59	1.92	1.52	1.68	0.127	279			NA	3	7	0					
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MON	MON191120		Oneuli	2019-11-20	8:58	1	1	3	1	1					MON191120	27.3	35.0	6.31	96.8	8.11	2.28	2.08	2.17	2.18	0.046	52			NA	0	5	0					
yes	yes	yes	no	no	41	Makena	NMS	JD	BS	MS	MAN	MAN191120		Ahihi North	2019-11-20	9:16	1	1	3	1	1					MAN191120	27.3	34.9	6.77	103.7	8.10	0.71	0.79	1.56	1.02	0.460	0			NA	2	4	0					
